LOTE;VALOR;PESO;DESCRICAO
04375-3;1.325,00 ;8,10;" UM ANEL, QUATRO BRINCOS, TRES PENDENTES, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 8,10G (OITO GRAMAS E DEZ CENTIGRAMAS) R$ 1.325,00 
"
04377-0;1.691,00 ;10,33;" UMA ALIANÇA, UM ANEL, DOIS BRINCOS, DOIS PENDENTES, DE: OURO, OURO RODINADO; CONSTAM: amolgada(s), PESO LOTE: 10,33G (DEZ GRAMAS E TRINTA E TRES CENTIGRAMAS) R$ 1.691,00 
"
04383-4;2.675,00 ;17,98;" DUAS ALIANÇAS, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 17,98G (DEZESSETE GRAMAS E NOVENTA E OITO CENTIGRAMAS) R$ 2.675,00 
"
04386-9;;16,25;" UM COLAR, DE: OURO, PESO LOTE: 16,25G (DEZESSEIS GRAMAS E VINTE E CINCO CENTIGRAMAS) R$ 2.642,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 67 de 73 
"
04392-3;1.676,00 ;11,48;" DOIS PENDENTES, DE: OURO, PESO LOTE: 11,48G (ONZE GRAMAS E QUARENTA E OITO CENTIGRAMAS) R$ 1.676,00 
"
04394-0;1.719,00 ;10,67;" UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 10,67G (DEZ GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 1.719,00 
"
04396-6;1.358,00 ;8,59;" DUAS ALIANÇAS, DOIS ANÉIS, DOIS COLARES, UM PENDENTE, DE: OURO; CONSTAM: amassada(s), amolgada(s), inscrições, PESO LOTE: 8,59G (OITO GRAMAS E CINQUENTA E NOVE CENTIGRAMAS) R$ 1.358,00 
"
04401-6;2.528,00 ;15,59;" UM COLAR, DE: OURO, OURO RODINADO; CONSTAM: amolgada(s), PESO LOTE: 15,59G (QUINZE GRAMAS E CINQUENTA E NOVE CENTIGRAMAS) R$ 2.528,00 
"
04422-9; 793,00 ;6,06;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), partida(s), PESO LOTE: 6,06G (SEIS GRAMAS E SEIS CENTIGRAMAS) R$ 793,00 
"
04437-7; 700,00 ;4,48;" DOIS BRINCOS, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,48G (QUATRO GRAMAS E QUARENTA E OITO CENTIGRAMAS) R$ 700,00 
"
04440-7; 421,00 ;3,22;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 3,22G (TRES GRAMAS E VINTE E DOIS CENTIGRAMAS) R$ 421,00 
"
04443-1;1.032,00 ;7,07;" UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 7,07G (SETE GRAMAS E SETE CENTIGRAMAS) R$ 1.032,00 
"
04458-0;4.740,00 ;12,75;" UM BROCHE, UM PENDENTE, DE: OURO BRANCO, OURO, 22 bri de 0.02 ct ij vvs 02 ct kl si cada, PESO LOTE: 12,75G (DOZE GRAMAS E SETENTA E CINCO CENTIGRAMAS) R$ 4.740,00 
"
04459-8;17.380,00 ;19,24;" UMA PULSEIRA, DE: OURO, 60 dia de 0.01 ct cada , 46 dia de 0.02 ct cada e 30 de 0.04 ct cada todos ij vvs lap 1x16 natan joi, PESO LOTE: 19,24G (DEZENOVE GRAMAS E VINTE E QUATRO CENTIGRAMAS) R$ 17.380,00 
"
04461-0;2.696,00 ;12,21;" DOIS ANÉIS, DE: OURO BRANCO, OURO, 2 bri de 0.10 ct cada kl si e 2 bri de 0.04 ct cada kl p1, PESO LOTE: 12,21G (DOZE GRAMAS E VINTE E UM CENTIGRAMAS) R$ 2.696,00 
"
04462-8;14.241,00 ;22,05;" UM ANEL, DOIS BRINCOS, DE: OURO BRANCO, 3 bri de 0.09 ct cada, 3 bri de 0.07 ct cada , 12 de 0.05 ct cada 7 bri de 0.04 ct cada 3 de 0.02 ct, PESO LOTE: 22,05G (VINTE E DOIS GRAMAS E CINCO CENTIGRAMAS) R$ 14.241,00 
"
04463-6;21.592,00 ;35,70;" UM ANEL, DE: OURO, UM ANEL NATAN JOIAS COM BRILHANTES DE 0.03 A 0.08 CT IJ VVS TOTALIZANDO 3.02 CT 8 AMETISTA CALIBRADA, PESO LOTE: 35,70G (TRINTA E CINCO GRAMAS E SETENTA CENTIGRAMAS) R$ 21.592,00 
"
04536-5;1.503,00 ;9,52;" UM BROCHE, DE: OURO, PESO LOTE: 9,52G (NOVE GRAMAS E CINQUENTA E DOIS CENTIGRAMAS) R$ 1.503,00 
"
04617-5;4.941,00 ;34,17;" UM COLAR, DE: OURO, PESO LOTE: 34,17G (TRINTA E QUATRO GRAMAS E DEZESSETE CENTIGRAMAS) R$ 4.941,00 
"
04657-4;1.500,00 ;11,30;" UMA ALIANÇA, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 11,30G (ONZE GRAMAS E TRINTA CENTIGRAMAS) R$ 1.500,00 
"
04670-1;1.893,00 ;13,51;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amassada(s), amolgada(s), inscrições, PESO LOTE: 13,51G (TREZE GRAMAS E CINQUENTA E UM CENTIGRAMAS) R$ 1.893,00 
"
04698-1; 871,00 ;5,62;" DUAS ALIANÇAS, UM ANEL, UM COLAR, (COM PENDENTE FIXO), UM PENDENTE, DE: OURO BRANCO, OURO; CONSTAM: defeito(s), incompleta(s), partida(s), PESO LOTE: 5,62G (CINCO GRAMAS E SESSENTA E DOIS R$ 871,00 
"
04702-3;1.480,00 ;10,90;" DOIS ANÉIS, UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amassada(s), amolgada(s), defeito(s), PESO LOTE: 10,90G (DEZ GRAMAS E NOVENTA CENTIGRAMAS) R$ 1.480,00 
"
04708-2; 417,00 ;2,90;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amassada(s), inscrições, PESO LOTE: 2,90G (DOIS GRAMAS E NOVENTA CENTIGRAMAS) R$ 417,00 
"
04709-0;10.688,00 ;50,00;" UM BARRA, DE: OURO(24K), PESO LOTE: 50,00G (CINQUENTA GRAMAS) R$ 10.688,00 
"
04711-2;1.300,00 ;9,90;" UM BROCHE, DE: OURO; CONSTAM: amassada(s), falta, PESO LOTE: 9,90G (NOVE GRAMAS E NOVENTA CENTIGRAMAS) R$ 1.300,00 
"
04712-0;2.600,00 ;13,96;" UMA MOEDA4 DUCADOS, DE: OURO, 986; CONSTAM: amassada(s), PESO LOTE: 13,96G (TREZE GRAMAS E NOVENTA E SEIS CENTIGRAMAS) R$ 2.600,00 
"
04719-8; 420,00 ;3,20;" UM COLAR, DE: OURO; CONSTAM: partida(s), PESO LOTE: 3,20G (TRES GRAMAS E VINTE CENTIGRAMAS) R$ 420,00 
"
04726-0; 304,00 ;2,32;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 2,32G (DOIS GRAMAS E TRINTA E DOIS CENTIGRAMAS) R$ 304,00 
"
04727-9;;5,77;" QUATRO BRINCOS, DE: OURO, OURO BRANCO, PESO LOTE: 5,77G (CINCO GRAMAS E SETENTA E SETE CENTIGRAMAS) R$ 905,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 71 de 73 
"
04741-4;;3,30; UM COLAR, DE: OURO, PESO LOTE: 3,30G (TRES GRAMAS E TRINTA CENTIGRAMAS)001593 R$ 480,00
