LOTE;VALOR;PESO;DESCRICAO
00775-7; 255,00 ;1,75;" UM COLAR, DOIS PENDENTES, DE: OURO, PESO LOTE: 1,75G (UM GRAMAS E SETENTA E CINCO CENTIGRAMA) R$ 255,00 
"
00777-3; 202,00 ;1,54;" UMA ALIANÇA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 1,54G (UM GRAMAS E CINQUENTA E QUATRO CENTIGRAMA) R$ 202,00 
"
00778-1; 773,00 ;5,44;" DUAS ALIANÇAS, DE: OURO; CONSTAM: inscrições, PESO LOTE: 5,44G (CINCO GRAMAS E QUARENTA E QUATRO CENTIGRAMAS) R$ 773,00 
"
00779-0; 130,00 ;0,99;" UM ANEL, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 0,99G (NOVENTA E NOVE CENTIGRAMAS) R$ 130,00 
"
00785-4; 312,00 ;2,14;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 2,14G (DOIS GRAMAS E QUATORZE CENTIGRAMAS) R$ 312,00 
"
00787-0; 118,00 ;0,99;" UM PENDENTE, UMA PULSEIRA, DE: OURO, TENDO DUAS PÉROLAS BIWA, PESO LOTE: 0,99G (NOVENTA E NOVE CENTIGRAMAS) R$ 118,00 
"
00792-7; 209,00 ;1,44;" UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 1,44G (UM GRAMAS E QUARENTA E QUATRO CENTIGRAMA) R$ 209,00 
"
00797-8;1.046,00 ;6,45;" UM COLAR, UM ESCAPULÁRIO, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 6,45G (SEIS GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 1.046,00 
"
00799-4; 382,00 ;2,91;" UMA ALIANÇA, DE: OURO, PESO LOTE: 2,91G (DOIS GRAMAS E NOVENTA E UM CENTIGRAMAS) R$ 382,00 
"
00806-0;4.714,00 ;32,66;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 32,66G (TRINTA E DOIS GRAMAS E SESSENTA E SEIS CENTIGRAMAS) R$ 4.714,00 
"
00815-0; 343,00 ;2,42;" DOIS BRINCOS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 2,42G (DOIS GRAMAS E QUARENTA E DOIS CENTIGRAMAS) R$ 343,00 
"
00822-2;3.772,00 ;21,21;" UM PENDENTE, DE: OURO, E OURO 23 K, ESTÁ ARRANHADO, PESO LOTE: 21,21G (VINTE E UM GRAMAS E VINTE E UM CENTIGRAMAS) R$ 3.772,00 
"
00826-5; 324,00 ;2,22;" UM COLAR, DE: OURO, PESO LOTE: 2,22G (DOIS GRAMAS E VINTE E DOIS CENTIGRAMAS) R$ 324,00 
"
00827-3; 155,00 ;1,08;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 1,08G (UM GRAMAS E OITO CENTIGRAMA) R$ 155,00 
"
00829-0; 625,00 ;4,41;" SETE BRINCOS(FALTANDO UMA TARRAXA), TRES PENDENTES, DE: OURO, OURO RODINADO; CONSTAM: amolgada(s), iniciais, PESO LOTE: 4,41G (QUATRO GRAMAS E QUARENTA E UM CENTIGRAMAS) R$ 625,00 
"
00830-3; 161,00 ;1,23;" UMA ALIANÇA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 1,23G (UM GRAMAS E VINTE E TRES CENTIGRAMA) R$ 161,00 
"
00831-1;;5,42;" DOIS BRINCOS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,42G (CINCO GRAMAS E QUARENTA E DOIS CENTIGRAMAS) R$ 791,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 15 de 73 
"
00832-0;2.456,00 ;20,47;" ALTO WATCH, DE OURO COM PULSEIRA DE OURO, MANCHADO, NÃO FUNCIONA, UM RELÓGIO; CONSTAM: amassada(s), defeito(s), PESO LOTE: 20,47G (VINTE GRAMAS E QUARENTA E SETE CENTIGRAMAS) R$ 2.456,00 
"
00835-4; 220,00 ;1,66;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 1,66G (UM GRAMAS E SESSENTA E SEIS CENTIGRAMA) R$ 220,00 
"
00838-9; 344,00 ;2,45;" UM ANEL, DE: OURO; CONSTAM: amolgada(s), defeito(s), falta, PESO LOTE: 2,45G (DOIS GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 344,00 
"
00848-6;2.800,00 ;21,34;" TRES COLARES, DOIS PENDENTES, DUAS PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), incompleta(s), partida(s), PESO LOTE: 21,34G (VINTE E UM GRAMAS E TRINTA E QUATRO CENTIGRAMAS) R$ 2.800,00 
"
00850-8;2.090,00 ;15,94;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 15,94G (QUINZE GRAMAS E NOVENTA E QUATRO CENTIGRAMAS) R$ 2.090,00 
"
00851-6;3.730,00 ;28,46;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 28,46G (VINTE E OITO GRAMAS E QUARENTA E SEIS CENTIGRAMAS) R$ 3.730,00 
"
00853-2; 280,00 ;2,13;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amassada(s), inscrições, PESO LOTE: 2,13G (DOIS GRAMAS E TREZE CENTIGRAMAS) R$ 280,00 
"
00876-1;1.239,00 ;8,70;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 8,70G (OITO GRAMAS E SETENTA CENTIGRAMAS) R$ 1.239,00 
"
00890-7; 779,00 ;5,30;" UMA PULSEIRA, DE: OURO, PESO LOTE: 5,30G (CINCO GRAMAS E TRINTA CENTIGRAMAS) R$ 779,00 
"
00892-3;;192,10;" UM RELÓGIO PULSEIRALONGINES, CONQUEST CERAMIC, L3.661.4, AUTOMATICO, ETA 7750, 3 ACUM, SAFIRA, DATADOR, DE: AÇO, PESO LOTE: 192,10G (CENTO E NOVENTA E DOIS GRAMAS E DEZ CENTIGRAMAS) R$ 2.882,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 16 de 73 
"
00896-6; 529,00 ;3,63;" UMA PULSEIRA, DE: OURO, PESO LOTE: 3,63G (TRES GRAMAS E SESSENTA E TRES CENTIGRAMAS) R$ 529,00 
"
00904-0;1.057,00 ;7,20;" UM ANEL, DE: OURO, PESO LOTE: 7,20G (SETE GRAMAS E VINTE CENTIGRAMAS) R$ 1.057,00 
"
00961-0; 613,00 ;4,20;" UM PENDENTE, DE: OURO, PESO LOTE: 4,20G (QUATRO GRAMAS E VINTE CENTIGRAMAS) R$ 613,00 
"
00968-7;1.239,00 ;7,70;" UM TERÇO, DE: OURO, PESO LOTE: 7,70G (SETE GRAMAS E SETENTA CENTIGRAMAS) R$ 1.239,00 
"
00971-7;3.703,00 ;25,20;" UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: inscrições, iniciais, PESO LOTE: 25,20G (VINTE E CINCO GRAMAS E VINTE CENTIGRAMAS) R$ 3.703,00 
"
